"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
1,1,1,1,1,1,0.980361367,1.06181638
0.953557847,1,0.953557847,0.953557847,1,0.953557847,1,1
0.933874214,1,1,0.933874214,1,1,0.961885492,0.961885492
0.970362804,1,0.970362804,0.970362804,1,0.970362804,0.929165254,1
0.906579415,1,1,0.906579415,1,1,1,1
1,1,1,1,1,1,0.94867347,1
0.901442765,0.999694678,1,0.901442765,0.999694678,1,0.800509439,1
1,1,1,1,1,1,0.841789291,1
1,1,1,1,1,1,0.806506308,1
1,1,1,1,1,1,0.553873435,0.929494687
0.918506788,1,1,0.918506788,0.99294095,1,0.943706683,1
1,1,1,1,0.976093637,1,1,1
1,0.835782304,1,1,0.835782304,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.718218756,1
1,1,1,1,1,1,0.886489501,0.886489501
1,1,1,0.936047111,0.936047111,1,0.843213333,0.972170898
1,1,1,0.908609536,0.821500733,1,1,1
1,1,1,1,1,1,0.658820452,0.991604246
1,1,1,1,0.851870712,1,0.60522951,1.020259284
0.863458998,1,1,0.863458998,1,1,0.786268065,1
1,1,1,1,0.957249896,1,0.298247507,0.298247507
0.992472638,1,1,0.992472638,1,1,0.666338202,1
0.849334146,1,1,0.849334146,1,1,0.916573704,1
1,1,1,0.990934875,1,1,0.955237296,0.961508823
1,1,1,1,1,1,0.893178568,1.024809857
0.943862538,1,1,0.943862538,1,1,0.856371648,1
0.966050556,0.97289772,1,0.966050556,0.97289772,1,0.854799901,1
1,1,1,1,1,1,0.778036218,1
0.885755176,1,1,0.885755176,1,1,0.724469387,1
1,1,1,1,1,1,0.7473161,1
1,1,1,1,1,1,0.68739512,1
0.869046677,1,0.970906945,0.869046677,1,0.970906945,0.598382334,0.967661213
0.998484758,1,1,0.998484758,1,1,0.900310031,1
1,1,1,1,1,1,0.585036311,1
1,1,1,1,1,1,0.687358851,0.930648151
1,1,1,1,1,1,0.637251407,1
1,1,1,1,1,1,1,1
0.928994621,0.928994621,1,0.928994621,0.928994621,1,1,1
1,1,1,1,1,1,0.79864612,1
0.84463051,1,1,0.84463051,1,1,0.905759218,1
1,1,1,1,1,1,0.887977319,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.5193697,1
1,1,1,1,1,1,0.802784422,1
1,1,1,1,0.956386931,1,0.908129372,1.052174066
1,1,1,1,0.962639197,0.928463916,0.696737803,0.985701517
0.953007479,1,1,0.953007479,1,1,0.863673964,1
0.956837399,1,1,0.956837399,1,1,0.869673561,0.975940665
1,1,1,1,1,1,0.720368907,1
1,1,1,1,1,1,0.836065617,1
1,1,1,1,1,1,0.824954588,1
1,1,1,1,1,1,0.695080057,1
0.944855821,1,1,0.944855821,1,1,0.867879248,1
1,1,1,1,1,1,0.868934153,0.938111458
0.89844727,1,1,0.89844727,1,1,0.676686109,0.990797621
0.893483603,1,1,0.893483603,1,1,0.943618555,0.997419066
