"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.011359,0.011941,0.103977,0.008738,0.014853,0.096696,0.481438,0.023592
0.050968,0.034368,0.127277,0.040775,0.028252,0.11417,0.45173,0.04427
0.0233,0.027669,0.101064,0.018932,0.0233,0.092035,0.40513,0.032911
0.016893,0.01631,0.096986,0.014271,0.013689,0.090579,0.657936,0.026795
0.019223,0.016601,0.087084,0.017183,0.015728,0.081842,0.417654,0.033494
0.031455,0.021553,0.089414,0.026504,0.016893,0.081259,0.278145,0.047765
0.037863,0.02796,0.096113,0.030873,0.027378,0.087958,0.336686,0.053299
0.03029,0.024174,0.087084,0.026795,0.018931,0.074852,0.265039,0.037571
0.014563,0.013398,0.018641,0.011067,0.021261,0.018058,0.320377,0.026795
0.021553,0.019222,0.074852,0.028834,0.016602,0.072813,0.332608,0.02796
0.02563,0.016601,0.076017,0.020679,0.017766,0.071648,0.271737,0.027086
0.019805,0.014853,0.071357,0.016601,0.012524,0.06757,0.336977,0.023591
0.02097,0.019514,0.083881,0.018641,0.016602,0.076016,0.32358,0.02796
0.03961,0.027378,0.087375,0.036698,0.023008,0.080385,0.251349,0.048639
0.022718,0.021844,0.082424,0.022135,0.020097,0.07689,0.249602,0.028834
0.029125,0.021844,0.083007,0.026795,0.022427,0.080094,0.299988,0.037862
0.028251,0.029125,0.08388,0.026795,0.025339,0.075434,0.277271,0.031455
0.032911,0.017184,0.099317,0.031164,0.016019,0.078638,0.39348,0.050095
0.053882,0.032329,0.087376,0.032329,0.023008,0.080385,0.4028,0.037863
0.025921,0.01631,0.083589,0.020678,0.016019,0.079511,0.362607,0.034076
0.039027,0.032329,0.134266,0.031164,0.024465,0.124656,0.755214,0.036115
0.036989,0.027377,0.124073,0.03728,0.033203,0.127276,0.896179,0.053881
0.064949,0.052134,0.133975,0.046891,0.050095,0.134266,0.40513,0.056503
0.039902,0.028251,0.139801,0.026504,0.020388,0.114462,0.44008,0.056794
0.042522,0.029708,0.117956,0.03728,0.026795,0.118248,0.610171,0.040484
0.020679,0.021261,0.128733,0.01631,0.017475,0.105433,0.788708,0.029999
0.046601,0.033785,0.117956,0.040775,0.03262,0.107763,0.475321,0.028542
0.030872,0.038737,0.134849,0.025048,0.0233,0.113297,0.493088,0.052425
0.018931,0.017766,0.11883,0.014854,0.017766,0.11854,0.673663,0.026213
0.041649,0.026795,0.115335,0.036406,0.027086,0.106015,0.51231,0.047765
0.033785,0.025921,0.118248,0.027669,0.022136,0.119704,0.669004,0.032911
0.021261,0.019805,0.114753,0.016601,0.01631,0.106598,0.645412,0.03262
0.02097,0.024757,0.113588,0.016601,0.024174,0.106889,0.6358,0.032038
0.037571,0.043979,0.120869,0.031455,0.026504,0.107763,0.502991,0.04194
0.030872,0.025339,0.122908,0.025922,0.020678,0.111258,0.654732,0.036698
0.036115,0.028252,0.126985,0.027087,0.024465,0.131936,0.913654,0.03495
0.02563,0.023883,0.123491,0.022426,0.022717,0.110093,2.436314,0.03495
0.026504,0.028251,0.110385,0.021553,0.022426,0.106015,1.264902,0.033785
0.03262,0.027086,0.131063,0.0233,0.020679,0.10951,1.025785,0.03029
0.025048,0.031746,0.117083,0.021553,0.026795,0.126403,2.720866,0.03262
0.023591,0.022717,0.122326,0.022426,0.021261,0.104559,1.154519,0.03029
0.0466,0.040484,0.348627,0.041067,0.025338,0.109219,0.446779,0.048057
0.046018,0.039028,0.120869,0.03495,0.030581,0.117957,0.461051,0.046892
0.0466,0.029125,0.112132,0.02796,0.021552,0.104559,0.462797,0.042523
0.0466,0.045435,0.132228,0.037572,0.03728,0.119704,0.511728,0.033494
0.031746,0.025921,0.114171,0.027377,0.021552,0.121451,0.436002,0.05126
0.045726,0.032911,0.117374,0.036115,0.036406,0.110384,0.428139,0.037571
0.018058,0.015436,0.099608,0.01631,0.014271,0.091453,0.328531,0.034659
0.017475,0.018931,0.0932,0.014854,0.01631,0.08388,0.594152,0.030582
0.014854,0.017475,0.088249,0.013107,0.01398,0.085046,0.43775,0.028542
0.034951,0.026504,0.085628,0.028834,0.0233,0.090579,0.228632,0.077182
0.016019,0.022427,0.092618,0.013689,0.019805,0.111257,0.213487,0.032329
0.023009,0.016602,0.087958,0.025921,0.021844,0.095239,0.243777,0.036115
0.025048,0.01631,0.09553,0.026795,0.028252,0.101938,0.329113,0.033493
0.034367,0.029417,0.092618,0.028542,0.024174,0.082133,0.274358,0.046891
0.035241,0.0233,0.089997,0.026795,0.024466,0.084754,0.383869,0.039028
0.073395,0.056212,0.162809,0.056794,0.046309,0.145335,1.621394,0.068444
0.031164,0.03029,0.14446,0.022718,0.038154,0.120578,0.348628,0.05592
0.082424,0.059124,0.172712,0.063783,0.045726,0.147664,0.488428,0.068735
0.048639,0.028251,0.129607,0.03961,0.024174,0.123491,0.986175,0.03961
0.048347,0.04427,0.128733,0.034658,0.03495,0.120287,0.474156,0.037863
0.035824,0.034659,0.142422,0.029708,0.029125,0.134849,0.953846,0.055046
0.047183,0.040192,0.13281,0.036989,0.034658,0.118539,0.475904,0.043105
0.045435,0.03961,0.124655,0.03262,0.032038,0.112423,0.457556,0.036115
0.046017,0.035532,0.132811,0.038445,0.030581,0.129607,0.486681,0.040775
0.042522,0.037863,0.129606,0.033203,0.032911,0.130189,0.448527,0.037862
0.041941,0.03961,0.134849,0.045144,0.036989,0.138635,0.676576,0.039319
0.05592,0.044852,0.136305,0.037862,0.029999,0.122616,0.516096,0.043979
0.040484,0.035823,0.088249,0.033786,0.030872,0.087084,0.60522,0.041067
0.043979,0.035533,0.141548,0.037572,0.029126,0.152324,0.523961,0.03961
0.047183,0.041066,0.140383,0.038154,0.036989,0.141839,0.505611,0.040193
0.046309,0.041358,0.141257,0.036698,0.032329,0.141257,0.501243,0.043396
0.051551,0.040484,0.142131,0.03728,0.031455,0.122034,0.458429,0.038154
0.023591,0.032911,0.126112,0.018931,0.025048,0.113297,0.708323,0.033785
0.023882,0.02563,0.129898,0.020388,0.020096,0.120578,0.736282,0.037571
0.039319,0.039028,0.13281,0.036115,0.038445,0.119995,0.624442,0.038154
0.039319,0.033785,0.134267,0.032329,0.040192,0.133102,0.621529,0.039319
0.028251,0.029999,0.12815,0.023883,0.02796,0.120869,0.66609,0.03495
0.031164,0.019514,0.137762,0.022135,0.018058,0.131354,0.72172,0.038154
0.022717,0.027377,0.14417,0.018057,0.02097,0.13514,0.683857,0.035241
0.049222,0.038154,0.147956,0.03961,0.034659,0.130771,0.526872,0.040193
0.030581,0.019805,0.136014,0.021843,0.027086,0.147081,0.726671,0.037863
0.037571,0.028543,0.124947,0.027377,0.024174,0.126986,0.67046,0.033785
0.069027,0.041357,0.141839,0.05592,0.034076,0.138927,0.514932,0.088832
0.040193,0.038154,0.147082,0.032329,0.032329,0.139509,0.60318,0.03728
0.041649,0.026213,0.141839,0.031747,0.022426,0.131063,0.68444,0.040193
0.258048,0.662887,0.307852,0.036989,0.030581,0.132811,0.60289,0.041357
0.037571,0.033203,0.136014,0.031455,0.038445,0.128442,0.595025,0.03961
0.038736,0.03728,0.138636,0.03262,0.029998,0.124947,0.972196,0.042814
0.044561,0.044561,0.135141,0.033203,0.036407,0.126403,0.610462,0.045144
0.043979,0.031455,0.135723,0.03495,0.026795,0.126985,0.611627,0.041649
0.048639,0.043396,0.126112,0.053007,0.037281,0.115627,0.414159,0.066405
0.03262,0.027669,0.136596,0.02563,0.021553,0.133976,0.709196,0.041066
