"BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","GAFES(pop:30,gen:100)","SPLConfig"
1,1,1,1,1,1,0.843774679,1
1,1,1,1,1,1,0.595292875,0.987408882
1,1,1,1,1,1,0.814573229,1
1,1,1,1,1,1,0.809178224,1
1,1,1,1,1,1,0.979080521,0.979080521
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.901154498,0.990635598
1,1,1,1,1,1,0.794210687,1
1,1,1,1,1,1,0.92873367,1
1,1,1,1,1,1,0.862097068,0.996336656
1,1,1,1,1,1,0.812481659,1
1,1,1,1,1,1,0.814869983,0.97813622
1,1,1,1,0.988105177,1,0.724550721,0.937230472
1,1,1,1,1,1,0.710672835,0.962809826
1,1,1,0.970795015,1,1,0.60825363,0.970795015
1,1,1,1,1,1,0.8306768,1
1,1,1,1,1,1,0.753132573,0.949480339
1,1,1,1,1,1,0.830909554,0.996485286
1,1,1,1,1,1,0.81376261,0.964643525
1,1,1,1,1,1,0.685006363,1
1,1,1,1,1,1,1,1
1,1,1,1,0.957245166,1,0.810531831,0.964462364
1,1,1,1,1,1,0.952820655,1
1,1,1,1,1,1,1,0.992450061
1,1,1,1,1,1,0.951481384,0.963558905
1,1,1,1,1,1,0.805725672,1
1,1,1,1,1,1,0.709495997,1.005984515
1,1,1,1,0.933568913,1,0.834028017,1
1,1,1,1,1,1,0.829063236,1
1,1,1,1,1,1,0.691884152,0.994796227
1,1,1,1,1,1,0.877362338,0.999434862
1,1,1,1,1,1,0.793236499,1
0.994238549,1,0.993000698,0.994238549,1,0.977871887,0.993000698,1.040994013
1,1,1,1,1,1,0.926160756,1
1,1,1,0.975995384,1,1,0.842295109,0.966471718
1,1,1,1,1,1,0.641701987,0.535244724
1,1,1,1,1,1,0.936335834,1
1,1,1,1,1,1,0.483335663,1
1,1,1,0.968788872,0.909330218,1,0.904252301,0.953929704
1,1,1,1,1,1,0.907760664,1
1,0.961198472,1,1,0.961198472,1,0.677103218,1.098615781
1,1,1,1,1,1,0.937620858,1
1,1,1,1,0.986024837,1,0.91227622,0.960624794
1,1,1,1,1,1,0.770382136,1
1,1,1,1,1,1,0.843212942,1
1,1,1,1,1,1,0.4514787,1
1,1,1,1,0.915199594,1,0.634367091,0.804734431
1,1,1,1,1,1,0.945575757,1
1,1,1,1,1,1,0.858063686,0.908252209
1,1,1,1,1,0.989674089,0.806627554,1
1,1,1,1,0.994659911,1,0.902267755,0.911645954
1,1,1,1,1,1,0.688522547,1
1,1,1,1,0.942864434,1,0.76594735,0.927568345
