B&B-HB-MHV,BestFS-HB-MHV,B&B-HB-MVPWU,BestFS-HB-MVPWU,B&B-HB-MCF,BestFS-HB-MCF,01LP,BoolOpt
0.106016,0.097278,0.051552,0.041358,0.072813,0.064657,0.260669,0.267659
0.111549,0.100482,0.056794,0.033785,0.043979,0.048057,0.280766,0.361442
0.097278,0.089123,0.020096,0.014271,0.014271,0.008737,0.335812,0.310473
0.118248,0.136597,0.057959,0.046601,0.117956,0.094656,0.39581,0.345133
0.099317,0.090579,0.032911,0.025048,0.031164,0.023009,0.257757,0.274067
0.096987,0.089414,0.024756,0.019223,0.030872,0.020679,0.286882,0.260669
0.096695,0.08854,0.029999,0.022136,0.025047,0.017767,0.562406,0.630558
0.106307,0.10019,0.061163,0.047473,0.061454,0.042814,0.565609,0.597646
0.109801,0.103394,0.044852,0.035824,0.058833,0.050095,0.219895,0.303774
0.097569,0.089997,0.035533,0.02796,0.043687,0.03495,0.253388,0.297367
0.03029,0.026795,0.023591,0.018058,0.021553,0.016018,0.353287,0.354161
0.093491,0.085628,0.037571,0.027378,0.043105,0.035241,0.532115,0.343094
0.097861,0.087375,0.038445,0.030582,0.034659,0.025921,0.365812,0.425226
0.094074,0.085919,0.034368,0.024756,0.033203,0.025048,0.269698,0.263873
0.096112,0.085628,0.029999,0.022718,0.027669,0.019223,0.292415,0.265038
0.108055,0.102521,0.046309,0.039318,0.085627,0.063202,0.373092,0.355326
0.115045,0.098152,0.03262,0.02563,0.034368,0.026504,0.270572,0.297949
0.10718,0.097278,0.049513,0.039319,0.040483,0.032911,0.2796,0.269989
0.104559,0.094948,0.050969,0.040484,0.061163,0.054173,0.499204,0.505029
0.113587,0.110384,0.050387,0.043396,0.052716,0.043105,0.229215,0.238535
0.100772,0.092327,0.036115,0.02796,0.070191,0.050678,0.3329,0.62881
0.099026,0.113296,0.084463,0.072521,0.059415,0.043397,0.655897,0.619199
0.129898,0.119122,0.080676,0.054756,0.059706,0.05126,0.696089,0.464545
0.132519,0.128733,0.034076,0.023883,0.039902,0.03029,0.345715,0.314842
0.142422,0.135723,0.103686,0.091162,0.170382,0.138926,0.43542,0.415324
0.128442,0.10951,0.038153,0.032329,0.057085,0.045727,0.68211,0.386781
0.117375,0.106015,0.041067,0.032038,0.046309,0.039901,0.284843,0.308726
0.111549,0.101647,0.033785,0.024465,0.027378,0.019223,0.359694,0.36086
0.112131,0.104268,0.053299,0.039901,0.054756,0.047183,0.290086,0.441827
0.117665,0.108928,0.0466,0.037863,0.049221,0.03495,0.247272,0.24232
0.119122,0.103977,0.024756,0.018931,0.02097,0.012815,0.394354,0.489302
0.119704,0.112423,0.04893,0.039027,0.047474,0.038154,0.271154,0.385325
