Num ineq rest,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MVPWU,BestFS+HTC+MVPWU,B&B+HTC+MCF,BestFS+HTC+MCF,01LP,BoolOpt
0 ineq rest,0.121452,0.106889,0.042814,0.031455,0.046017,0.030582,0.173586,0.156402
0 ineq rest,0.12349,0.108054,0.040484,0.028834,0.049222,0.035533,0.172421,0.334939
0 ineq rest,0.121451,0.107763,0.035824,0.026504,0.043979,0.032329,0.195721,0.153489
0 ineq rest,0.128733,0.113297,0.04427,0.030581,0.056794,0.040192,0.173877,0.201546
0 ineq rest,0.121451,0.108637,0.034368,0.026504,0.041357,0.028834,0.205623,0.334356
0 ineq rest,0.126986,0.109219,0.043979,0.032621,0.057376,0.041358,0.19106,0.177663
0 ineq rest,0.115918,0.10485,0.019223,0.012815,0.028542,0.027377,0.219312,0.185235
0 ineq rest,0.104268,0.099317,0.013398,0.008738,0.019514,0.012232,0.228049,0.198924
0 ineq rest,0.129316,0.116792,0.033493,0.02796,0.033786,0.023009,0.197177,0.195139
0 ineq rest,0.136015,0.124073,0.047765,0.035241,0.063201,0.044853,0.189604,0.19339
0 ineq rest,0.127568,0.11417,0.050969,0.03961,0.068735,0.043105,0.176207,0.155528
0 ineq rest,0.135723,0.115044,0.05126,0.038445,0.061162,0.043397,0.171547,0.155528
0 ineq rest,0.147664,0.114461,0.136887,0.08854,0.062328,0.045727,0.141548,0.130189
0 ineq rest,0.123199,0.109219,0.043397,0.033203,0.057959,0.04194,0.18844,0.155237
0 ineq rest,0.129316,0.132811,0.050969,0.037863,0.058833,0.042523,0.145916,0.205623
0 ineq rest,0.135723,0.119995,0.042814,0.031455,0.058833,0.040484,0.196886,0.199215
0 ineq rest,0.14446,0.122908,0.046309,0.034368,0.063202,0.045726,0.203584,0.296494
0 ineq rest,0.14446,0.129607,0.043979,0.035242,0.055338,0.042232,0.176207,0.191352
0 ineq rest,0.133684,0.118248,0.053299,0.040484,0.063201,0.045144,0.149994,0.1398
0 ineq rest,0.110384,0.096404,0.025921,0.016601,0.030872,0.022135,0.210283,0.194555
0 ineq rest,0.122034,0.111257,0.035533,0.025048,0.044561,0.031164,0.199507,0.163392
0 ineq rest,0.111841,0.096987,0.04893,0.034367,0.062327,0.033785,0.153781,0.210575
0 ineq rest,0.1165,0.103976,0.053007,0.039319,0.062036,0.044271,0.171838,0.145625
0 ineq rest,0.111549,0.121451,0.036698,0.026795,0.046018,0.032912,0.179702,0.150285
0 ineq rest,0.145043,0.125238,0.063493,0.047473,0.069318,0.048639,0.146208,0.159023
0 ineq rest,0.147665,0.131062,0.077764,0.059415,0.077473,0.064949,0.851618,0.143295
0 ineq rest,0.131645,0.112714,0.057086,0.037863,0.070192,0.043688,0.192517,0.165139
0 ineq rest,0.111258,0.10019,0.050387,0.02796,0.051551,0.033202,0.165721,0.166886
0 ineq rest,0.147664,0.113588,0.088541,0.047473,0.083589,0.073395,0.142713,0.196886
0 ineq rest,0.108927,0.093492,0.022135,0.015145,0.029999,0.019514,0.197759,0.195429
0 ineq rest,0.106889,0.095239,0.019222,0.012233,0.027669,0.017475,0.231544,0.193682
0 ineq rest,0.12582,0.107471,0.045144,0.032911,0.053008,0.038154,0.183779,0.17213
0 ineq rest,0.129898,0.119413,0.052425,0.037862,0.057959,0.042231,0.204458,0.179411
0 ineq rest,0.101937,0.091162,0.020096,0.014854,0.021261,0.011941,0.221933,0.183488
0 ineq rest,0.127568,0.10951,0.053299,0.039902,0.058541,0.042814,0.15145,0.22135
0 ineq rest,0.116209,0.114462,0.036115,0.023883,0.040775,0.028834,0.191643,0.164557
0 ineq rest,0.153781,0.138053,0.027378,0.020679,0.072231,0.052134,0.165721,1.06656
0 ineq rest,0.139801,0.117956,0.043396,0.031164,0.062911,0.040192,0.191934,0.275523
0 ineq rest,0.129898,0.117374,0.054756,0.041067,0.053007,0.035824,0.209409,0.210575
0 ineq rest,0.109511,0.096987,0.037863,0.027669,0.045727,0.032329,0.168343,0.160188
0 ineq rest,0.14184,0.125238,0.056211,0.043396,0.066114,0.050096,0.156985,0.171256
0 ineq rest,0.133102,0.12116,0.046308,0.034658,0.053008,0.0466,0.188731,0.168343
0 ineq rest,0.223972,0.201255,0.095239,0.079803,0.563279,0.078929,0.191934,0.157858
0 ineq rest,0.180575,0.163392,0.069026,0.05359,0.080676,0.060289,0.184653,0.16281
0 ineq rest,0.176789,0.147956,0.053881,0.037863,0.056503,0.041649,0.222225,0.22135
0 ineq rest,0.158149,0.141548,0.048056,0.036115,0.059706,0.043396,0.223681,0.215526
0 ineq rest,0.14184,0.143004,0.038154,0.028252,0.046018,0.033203,0.198633,0.179702
0 ineq rest,0.204749,0.184362,0.090579,0.07223,0.096695,0.076599,0.175042,0.159605
0 ineq rest,0.213196,0.197468,0.099317,0.080386,0.105724,0.085337,0.158441,0.148247
0 ineq rest,0.247855,0.149412,0.078347,0.056212,0.089123,0.079221,0.180866,0.161062
0 ineq rest,0.14417,0.129606,0.046891,0.036115,0.062328,0.042814,0.183196,0.166887
0 ineq rest,0.160188,0.146791,0.069026,0.056503,0.080386,0.063201,0.175625,0.144461
0 ineq rest,0.161353,0.144752,0.061746,0.046018,0.071939,0.053007,0.195138,0.263291
0 ineq rest,0.161353,0.135723,0.087084,0.051551,0.062328,0.04427,0.207953,0.169216
0 ineq rest,0.206206,0.191351,0.101065,0.084754,0.099317,0.075434,0.137179,0.130481
0 ineq rest,0.114462,0.103103,0.028251,0.02097,0.036697,0.024465,0.239991,0.228632
0 ineq rest,0.169217,0.156402,0.064075,0.049513,0.075725,0.059415,0.167469,0.166595
0 ineq rest,0.182615,0.166013,0.075143,0.063201,0.082133,0.067279,0.24232,0.179702
0 ineq rest,0.136305,0.119413,0.031455,0.022426,0.039901,0.02796,0.232127,0.190478
0 ineq rest,0.157276,0.142713,0.052426,0.038736,0.055628,0.039319,0.191934,0.168634
0 ineq rest,0.168926,0.141548,0.046017,0.044562,0.043979,0.033493,0.183779,0.327949
0 ineq rest,0.11184,0.114171,0.0233,0.015436,0.032329,0.021261,0.196595,0.180867
0 ineq rest,0.152615,0.144751,0.078347,0.060871,0.056502,0.041649,0.184362,0.172712
0 ineq rest,0.184071,0.165721,0.073977,0.05825,0.08388,0.056211,0.188148,0.185527
0 ineq rest,0.111258,0.100482,0.013397,0.007864,0.019805,0.01165,0.309017,0.221933
0 ineq rest,0.175915,0.161644,0.072813,0.057667,0.085336,0.063784,0.206206,0.20009
0 ineq rest,0.147955,0.132519,0.048057,0.03728,0.042523,0.029707,0.199216,0.339016
0 ineq rest,0.126112,0.115044,0.028251,0.019805,0.036406,0.026504,0.198342,0.182905
0 ineq rest,0.128733,0.135432,0.029416,0.021261,0.036115,0.025339,0.242321,0.237952
0 ineq rest,0.166304,0.145335,0.060289,0.047183,0.069609,0.053299,0.195721,0.254553
0 ineq rest,0.199798,0.179411,0.095531,0.071357,0.084462,0.066405,0.1631,0.166304
0 ineq rest,0.164265,0.136305,0.05825,0.055337,0.083881,0.053008,0.181158,0.176498
0 ineq rest,0.049221,0.038153,0.024174,0.017184,0.032038,0.021844,0.222516,0.213487
0 ineq rest,0.119413,0.107181,0.036115,0.02563,0.044271,0.031746,0.168926,0.162227
0 ineq rest,0.136306,0.129025,0.045144,0.047183,0.054173,0.039028,0.191061,0.173877
0 ineq rest,0.136014,0.159897,0.041066,0.029999,0.04893,0.034658,0.20009,0.179702
0 ineq rest,0.148538,0.129607,0.044271,0.032912,0.052134,0.039027,0.240574,0.210283
0 ineq rest,0.192225,0.161062,0.087375,0.084463,0.099316,0.078055,0.152907,0.134849
0 ineq rest,0.155819,0.149994,0.047765,0.038445,0.049804,0.042232,0.188731,0.485515
0 ineq rest,0.164266,0.147664,0.055046,0.042231,0.067279,0.048348,0.192517,0.243195
0 ineq rest,0.146208,0.132519,0.049221,0.038154,0.06058,0.043979,0.191352,0.163974
0 ineq rest,0.194555,0.186109,0.077473,0.058541,0.086792,0.069027,0.20504,0.176207
0 ineq rest,0.190187,0.162227,0.060289,0.046891,0.076599,0.057958,0.198342,0.157276
0 ineq rest,0.16048,0.148829,0.059998,0.0466,0.061454,0.045144,0.214652,0.190187
0 ineq rest,0.178536,0.166596,0.072522,0.059124,0.075143,0.056794,0.202419,0.187856
0 ineq rest,0.179119,0.1631,0.107471,0.097569,0.055629,0.039902,0.23504,0.3329
0 ineq rest,0.219603,0.198341,0.100481,0.080094,0.109219,0.087667,0.187857,0.211448
0 ineq rest,0.171256,0.155528,0.05359,0.040483,0.065822,0.0466,0.216691,0.243777
0 ineq rest,0.176498,0.168343,0.055629,0.041649,0.06524,0.048347,0.213196,0.251058
0 ineq rest,0.135723,0.132811,0.026504,0.01864,0.035824,0.024173,0.23737,0.235622
0 ineq rest,0.181449,0.167469,0.072813,0.057959,0.078929,0.06058,0.202128,0.290668
0 ineq rest,0.185818,0.168925,0.065532,0.049513,0.064949,0.050386,0.18174,0.178245
0 ineq rest,0.144751,0.131645,0.026795,0.018349,0.035241,0.023009,0.248437,0.229506
0 ineq rest,0.193682,0.17912,0.050095,0.037281,0.062327,0.045726,0.195138,0.430469
0 ineq rest,0.159314,0.146499,0.043979,0.032329,0.060289,0.043396,0.227467,0.174168
0 ineq rest,0.136597,0.122034,0.030582,0.022135,0.033494,0.024465,0.220768,0.19805
0 ineq rest,0.144752,0.133102,0.034076,0.023009,0.046892,0.025047,0.241447,0.2164
0 ineq rest,0.183196,0.164265,0.070774,0.055921,0.083007,0.061454,0.240864,0.214361
0 ineq rest,0.172129,0.156984,0.052425,0.041358,0.056212,0.043688,0.216691,0.189313
0 ineq rest,0.161935,0.149994,0.067861,0.043687,0.065823,0.044561,0.180284,0.168634
0 ineq rest,0.157567,0.145625,0.04893,0.036407,0.052425,0.037863,0.199216,0.162809
0 ineq rest,0.153781,0.141547,0.048348,0.032038,0.052425,0.035242,0.212905,0.175625
0 ineq rest,0.162227,0.135722,0.046309,0.035533,0.050677,0.036698,0.203584,0.182032
0 ineq rest,0.147664,0.129898,0.045435,0.034659,0.052717,0.03728,0.210283,0.177663
0 ineq rest,0.131063,0.116209,0.03029,0.02097,0.039027,0.026795,0.217273,0.197468
0 ineq rest,0.138053,0.12116,0.055046,0.040484,0.062619,0.0466,0.195429,0.185527
0 ineq rest,0.133393,0.1165,0.054173,0.041067,0.062036,0.048348,0.187566,0.179119
0 ineq rest,0.124656,0.127277,0.047765,0.052717,0.049513,0.036407,0.211157,0.202128
0 ineq rest,0.15378,0.138344,0.057376,0.045144,0.065823,0.051551,0.185235,0.163391
