"Model(Num features)","B&B+HB+MCF","B&B+HB+MVW","B&B+HB+MHV","BestFS+HB+MCF","BestFS+HB+MVW","BestFS+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"Sylvain Example(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9910379690786668","0.9910379690786668","1.0","0.9910379690786668","0.9910379690786668","1.0","1.0"
"ROOT(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NovoSiga(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"asdsfa ewtwwe(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7600836192938092","1.0","1.0","0.7600836192938092","1.0","1.0"
"Website(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"1(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"erewr(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Webshop_SPLE2014_Chalmers(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9772302621551403","1.0","1.0","1.0","1.0","1.0","1.0"
"poker spl(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9169957572289134","1.0","1.0","0.9169957572289134","1.0","1.0"
"r(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9770182918387234","1.0","1.0","1.0","1.0","1.0"
"E-shop(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9953477775156777","1.0","1.0"
"PC model(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"testing(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"ubuntu(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Jogo(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Assistente de Compras(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"HandlingSystem(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Rotation1(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"ESCA Embeeded System(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Cellphone(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"IntelligentTutoringSystem(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"test_fm(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Eshop-ufrj(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.9885051099684072","0.9885051099684072","1.0","1.0","1.0","1.0","1.0"
"Doorlopende reisverzekering(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Dummy Car(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8279545076540982","1.0","1.0","1.0","1.0","1.0"
"WB2(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Text Editor(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Adams Car(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.48098495007335906","0.48098495007335906","1.0","0.48098495007335906","0.48098495007335906","1.0","1.0"
"CCCMS(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9067371524846682","1.0","1.0","0.9067371524846682","1.0","1.0"
"mon model(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"a(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"aaaaaa(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Pruebas(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Address Book(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Sisgeo(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Multiplicador de n matrices(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Movil(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.9272601989578523","1.0","1.0","0.9272601989578523","1.0","1.0","1.0"
"ID(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"gs(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"MyDental(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"FM with optional XOR(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Final model(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Sylvain Example(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.9459164311958542","0.9755869561268283","1.0","1.0","0.9755869561268283","1.0","1.0"
"E-commerce system1(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"FeatureModelName(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Content(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.971362785049858","1.0","1.0","0.971362785049858","1.0","1.0","1.0"
"Attempt of mine(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9773187113264934","1.0","1.0","1.0","1.0","1.0"
"Content(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.910179331989771","1.0","1.0","1.0","1.0","1.0"
"Content model(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
