"Model(Num features)","B&B+HB+MCF","B&B+HB+MVW","B&B+HB+MHV","BestFS+HB+MCF","BestFS+HB+MVW","BestFS+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"MobileMedia_Cleice(16)","0.059706","0.0466","0.140383","0.0466","0.039319","0.131936","0.047182","0.038154","0.126985","0.047765","0.040192","0.143878","0.734532"
"MobileMedia_Thanis(16)","0.127568","0.070482","0.223389","0.118829","0.066113","0.194846","0.05825","0.064657","0.187273","0.057376","0.067278","0.19572","0.929087"
"Mobile Media_LeonardoSilva(16)","0.083007","0.147955","0.207079","0.067279","0.108636","0.196884","0.069318","0.086209","0.189604","0.067861","0.089705","0.198633","0.920932"
"MobileMedia_DiegoTavares(16)","0.107471","0.085628","0.209992","0.090579","0.076307","0.196594","0.088831","0.073977","0.187274","0.091161","0.077764","0.198632","1.002191"
"MobileMedia_JulianaPadilha(16)","0.062328","0.055629","0.183779","0.048639","0.0466","0.177371","0.049222","0.045726","0.16776","0.156984","0.049512","0.17708","0.781715"
"Mobile_Media_Gabriela(16)","0.053007","0.046017","0.128441","0.037863","0.038154","0.118248","0.039318","0.037571","0.114753","0.036697","0.036697","0.116209","0.957921"
"Mobile Media Thiago(16)","0.131937","0.3495","0.174458","0.077473","0.313677","0.26329","0.066696","0.067279","0.140965","0.063492","0.071648","0.152032","0.822781"
"myHolidays(16)","0.069317","0.053299","0.143878","0.057376","0.047474","0.134558","0.057086","0.044852","0.128441","0.057085","0.0466","0.13514","0.595606"
"Data Collection Model(16)","0.075142","0.066696","0.193681","0.060871","0.060871","0.185818","0.073395","0.073686","0.175623","0.06058","0.061163","0.185817","0.852488"
"MobilePhone(16)","0.080676","0.062619","0.20737","0.067569","0.054464","0.194555","0.066988","0.051842","0.182905","0.066405","0.053881","0.202127","0.58017"
"a(16)","0.070774","0.042522","0.24465","0.050969","0.035532","0.236204","0.047474","0.03262","0.195429","0.046017","0.033203","0.212321","0.429594"
"Middle Office(16)","0.037572","0.028543","0.048056","0.02097","0.019223","0.04194","0.022135","0.019223","0.041648","0.02097","0.019222","0.041357","0.976853"
"IoT-MPL(16)","0.100481","0.072812","0.15844","0.087084","0.064657","0.152033","0.074269","0.06291","0.138926","0.075434","0.06524","0.151741","0.757832"
"Smart Phone Feature Model(16)","0.053299","0.049513","0.204458","0.041939","0.042522","0.194263","0.049221","0.046599","0.183778","0.041941","0.042522","0.19572","0.519298"
"Navigation Protocol(16)","0.06524","0.053299","0.16077","0.049513","0.045726","0.155236","0.050678","0.046309","0.140965","0.069026","0.047474","0.154654","0.648613"
"Urna - Municipal(16)","0.087667","0.043397","0.118831","0.063492","0.036989","0.110675","0.048057","0.036697","0.10718","0.048056","0.038445","0.112423","1.100924"
"SIXL(16)","0.099899","0.08155","0.203584","0.077764","0.072813","0.19339","0.077473","0.065823","0.17941","0.077764","0.073104","0.194554","0.590947"
"dinner(16)","0.077182","0.047766","0.230087","0.059997","0.040775","0.220185","0.051843","0.033494","0.20504","0.05126","0.034368","0.221059","0.432798"
"Small Graph Product Line(17)","0.077181","0.059706","0.23766","0.062036","0.052133","0.234747","0.062036","0.050969","0.215234","0.06291","0.052716","0.227757","0.643955"
"AudioPlayer(17)","0.089414","0.077472","0.166012","0.071356","0.067569","0.16077","0.071647","0.065532","0.151742","0.071356","0.067861","0.159896","0.741814"
"Mobile Media until relase 7(17)","0.092035","0.079803","0.152615","0.075142","0.072521","0.142713","0.073395","0.067279","0.133684","0.074851","0.071065","0.140965","0.832102"
"SMS a Cobrar / Resposta paga(17)","0.086501","0.077472","0.199215","0.069026","0.0699","0.188147","0.066696","0.065531","0.174167","0.067861","0.068735","0.188147","0.510561"
"Basic Text Editor(17)","0.077763","0.068734","0.194555","0.063492","0.060288","0.180575","0.060871","0.057377","0.166886","0.06058","0.059414","0.18407","0.572889"
"GuideAgent(17)","0.071065","0.055046","0.127276","0.033785","0.048056","0.139217","0.050387","0.047183","0.098151","0.050386","0.048348","0.119122","1.273054"
"Mobile Media(17)","0.091453","0.069318","0.216108","0.072522","0.059415","0.204749","0.067278","0.058541","0.188147","0.080094","0.092035","0.271154","0.781132"
"Mobile Media Adriano Lages(17)","0.077764","0.076307","0.197758","0.059415","0.068153","0.189604","0.060289","0.06524","0.173294","0.059998","0.068444","0.191642","0.408333"
"daniel souza(17)","0.10485","0.110384","0.229214","0.090579","0.115044","0.239408","0.087375","0.09087","0.213486","0.099024","0.107762","0.238534","0.614246"
"MobileMedia_BrunoAquino(17)","0.184944","0.236495","0.225136","0.163682","0.129315","0.217855","0.09087","0.087958","0.203293","0.092909","0.093782","0.216981","0.710068"
"MobileMedia_Gustavo(17)","0.083589","0.106014","0.233874","0.062327","0.079511","0.256883","0.071356","0.080676","0.231253","0.074851","0.085336","0.249019","0.578131"
"celular(17)","0.057959","0.040775","0.140383","0.043396","0.033494","0.12815","0.044561","0.033493","0.124072","0.043979","0.034367","0.133975","0.682982"
"Modelo de Celulares(17)","0.050677","0.050969","0.213195","0.036116","0.042522","0.203875","0.037572","0.041649","0.192225","0.035823","0.041648","0.197467","0.945398"
"Mobile  Model(17)","0.087667","0.062036","0.215525","0.072812","0.053881","0.202128","0.071938","0.057376","0.209117","0.077764","0.059124","0.219311","0.546094"
"Willian Oizumi - Mobile Media(17)","0.079803","0.055337","0.189312","0.066405","0.048347","0.179118","0.06524","0.05359","0.165139","0.064949","0.047765","0.17941","0.735115"
"Gsist(17)","0.075434","0.075434","0.163099","0.060289","0.066988","0.152032","0.06058","0.06524","0.14417","0.06058","0.066696","0.150867","0.922389"
"SmartPhone Device(17)","0.138926","0.442118","0.186982","0.128442","0.431924","0.182614","0.070483","0.065531","0.164557","0.071939","0.074269","0.178828","0.50794"
"DiegoMobileMedia(17)","0.120869","0.085045","0.229505","0.093491","0.078929","0.217273","0.089705","0.080676","0.20271","0.091744","0.077182","0.21669","0.720553"
"Mobile_Media_Gabriela(17)","0.055629","0.038445","0.147664","0.040192","0.030872","0.139218","0.041358","0.029999","0.132519","0.03961","0.030872","0.137761","0.603179"
"EventosPerez(17)","0.128732","0.114752","0.233874","0.113004","0.107471","0.223388","0.107471","0.099608","0.204458","0.111258","0.105724","0.223097","0.604926"
"variabilidad(17)","0.077181","0.061163","0.127276","0.055046","0.052716","0.119121","0.055046","0.052425","0.115917","0.05592","0.053299","0.119412","1.353729"
"SIGA-lctf-fta(17)","0.094365","0.089414","0.175333","0.062037","0.080385","0.164557","0.063201","0.053299","0.159605","0.063201","0.054755","0.165721","0.84579"
